PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,FarePerPerson
252,0,3,0,29.0,1,1,10.4625,2,3,3.4875000000000003
253,0,1,1,62.0,0,0,26.55,2,1,26.55
254,0,3,1,30.0,1,0,16.1,2,2,8.05
255,0,3,0,41.0,0,2,20.2125,2,3,6.7375
256,1,3,0,29.0,0,2,15.2458,0,3,5.081933333333333
257,1,1,0,28.0,0,0,79.2,0,1,79.2
258,1,1,0,30.0,0,0,86.5,2,1,86.5
259,1,1,0,35.0,0,0,512.3292,0,1,512.3292
260,1,2,0,50.0,0,1,26.0,2,2,13.0
261,0,3,1,28.0,0,0,7.75,1,1,7.75
262,1,3,1,3.0,4,2,31.3875,2,7,4.483928571428572
263,0,1,1,52.0,1,1,79.65,2,3,26.55
264,0,1,1,40.0,0,0,0.0,2,1,0.0
265,0,3,0,28.0,0,0,7.75,1,1,7.75
266,0,2,1,36.0,0,0,10.5,2,1,10.5
267,0,3,1,16.0,4,1,39.6875,2,6,6.614583333333333
268,1,3,1,25.0,1,0,7.775,2,2,3.8875
269,1,1,0,58.0,0,1,153.4625,2,2,76.73125
270,1,1,0,35.0,0,0,135.6333,2,1,135.6333
271,0,1,1,28.0,0,0,31.0,2,1,31.0
272,1,3,1,25.0,0,0,0.0,2,1,0.0
273,1,2,0,41.0,0,1,19.5,2,2,9.75
274,0,1,1,37.0,0,1,29.7,0,2,14.85
275,1,3,0,28.0,0,0,7.75,1,1,7.75
276,1,1,0,63.0,1,0,77.9583,2,2,38.97915
277,0,3,0,45.0,0,0,7.75,2,1,7.75
278,0,2,1,28.0,0,0,0.0,2,1,0.0
279,0,3,1,7.0,4,1,29.125,1,6,4.854166666666667
280,1,3,0,35.0,1,1,20.25,2,3,6.75
281,0,3,1,65.0,0,0,7.75,1,1,7.75
282,0,3,1,28.0,0,0,7.8542,2,1,7.8542
283,0,3,1,16.0,0,0,9.5,2,1,9.5
284,1,3,1,19.0,0,0,8.05,2,1,8.05
285,0,1,1,28.0,0,0,26.0,2,1,26.0
286,0,3,1,33.0,0,0,8.6625,0,1,8.6625
287,1,3,1,30.0,0,0,9.5,2,1,9.5
288,0,3,1,22.0,0,0,7.8958,2,1,7.8958
289,1,2,1,42.0,0,0,13.0,2,1,13.0
290,1,3,0,22.0,0,0,7.75,1,1,7.75
291,1,1,0,26.0,0,0,78.85,2,1,78.85
292,1,1,0,19.0,1,0,91.0792,0,2,45.5396
293,0,2,1,36.0,0,0,12.875,0,1,12.875
294,0,3,0,24.0,0,0,8.85,2,1,8.85
295,0,3,1,24.0,0,0,7.8958,2,1,7.8958
296,0,1,1,28.0,0,0,27.7208,0,1,27.7208
297,0,3,1,23.5,0,0,7.2292,0,1,7.2292
298,0,1,0,2.0,1,2,151.55,2,4,37.8875
299,1,1,1,28.0,0,0,30.5,2,1,30.5
300,1,1,0,50.0,0,1,247.5208,0,2,123.7604
301,1,3,0,28.0,0,0,7.75,1,1,7.75
302,1,3,1,28.0,2,0,23.25,1,3,7.75
303,0,3,1,19.0,0,0,0.0,2,1,0.0
304,1,2,0,28.0,0,0,12.35,1,1,12.35
305,0,3,1,28.0,0,0,8.05,2,1,8.05
306,1,1,1,0.92,1,2,151.55,2,4,37.8875
307,1,1,0,28.0,0,0,110.8833,0,1,110.8833
308,1,1,0,17.0,1,0,108.9,0,2,54.45
309,0,2,1,30.0,1,0,24.0,0,2,12.0
310,1,1,0,30.0,0,0,56.9292,0,1,56.9292
311,1,1,0,24.0,0,0,83.1583,0,1,83.1583
312,1,1,0,18.0,2,2,262.375,0,5,52.475
313,0,2,0,26.0,1,1,26.0,2,3,8.666666666666666
314,0,3,1,28.0,0,0,7.8958,2,1,7.8958
315,0,2,1,43.0,1,1,26.25,2,3,8.75
316,1,3,0,26.0,0,0,7.8542,2,1,7.8542
317,1,2,0,24.0,1,0,26.0,2,2,13.0
318,0,2,1,54.0,0,0,14.0,2,1,14.0
319,1,1,0,31.0,0,2,164.8667,2,3,54.95556666666667
320,1,1,0,40.0,1,1,134.5,0,3,44.833333333333336
321,0,3,1,22.0,0,0,7.25,2,1,7.25
322,0,3,1,27.0,0,0,7.8958,2,1,7.8958
323,1,2,0,30.0,0,0,12.35,1,1,12.35
324,1,2,0,22.0,1,1,29.0,2,3,9.666666666666666
325,0,3,1,28.0,8,2,69.55,2,11,6.322727272727272
326,1,1,0,36.0,0,0,135.6333,0,1,135.6333
327,0,3,1,61.0,0,0,6.2375,2,1,6.2375
328,1,2,0,36.0,0,0,13.0,2,1,13.0
329,1,3,0,31.0,1,1,20.525,2,3,6.841666666666666
330,1,1,0,16.0,0,1,57.9792,0,2,28.9896
331,1,3,0,28.0,2,0,23.25,1,3,7.75
332,0,1,1,45.5,0,0,28.5,2,1,28.5
333,0,1,1,38.0,0,1,153.4625,2,2,76.73125
334,0,3,1,16.0,2,0,18.0,2,3,6.0
335,1,1,0,28.0,1,0,133.65,2,2,66.825
336,0,3,1,28.0,0,0,7.8958,2,1,7.8958
337,0,1,1,29.0,1,0,66.6,2,2,33.3
338,1,1,0,41.0,0,0,134.5,0,1,134.5
339,1,3,1,45.0,0,0,8.05,2,1,8.05
340,0,1,1,45.0,0,0,35.5,2,1,35.5
341,1,2,1,2.0,1,1,26.0,2,3,8.666666666666666
342,1,1,0,24.0,3,2,263.0,2,6,43.833333333333336
343,0,2,1,28.0,0,0,13.0,2,1,13.0
344,0,2,1,25.0,0,0,13.0,2,1,13.0
345,0,2,1,36.0,0,0,13.0,2,1,13.0
346,1,2,0,24.0,0,0,13.0,2,1,13.0
347,1,2,0,40.0,0,0,13.0,2,1,13.0
348,1,3,0,28.0,1,0,16.1,2,2,8.05
349,1,3,1,3.0,1,1,15.9,2,3,5.3
350,0,3,1,42.0,0,0,8.6625,2,1,8.6625
351,0,3,1,23.0,0,0,9.225,2,1,9.225
352,0,1,1,28.0,0,0,35.0,2,1,35.0
353,0,3,1,15.0,1,1,7.2292,0,3,2.409733333333333
354,0,3,1,25.0,1,0,17.8,2,2,8.9
355,0,3,1,28.0,0,0,7.225,0,1,7.225
356,0,3,1,28.0,0,0,9.5,2,1,9.5
357,1,1,0,22.0,0,1,55.0,2,2,27.5
358,0,2,0,38.0,0,0,13.0,2,1,13.0
359,1,3,0,28.0,0,0,7.8792,1,1,7.8792
360,1,3,0,28.0,0,0,7.8792,1,1,7.8792
361,0,3,1,40.0,1,4,27.9,2,6,4.6499999999999995
362,0,2,1,29.0,1,0,27.7208,0,2,13.8604
363,0,3,0,45.0,0,1,14.4542,0,2,7.2271
364,0,3,1,35.0,0,0,7.05,2,1,7.05
365,0,3,1,28.0,1,0,15.5,1,2,7.75
366,0,3,1,30.0,0,0,7.25,2,1,7.25
367,1,1,0,60.0,1,0,75.25,0,2,37.625
368,1,3,0,28.0,0,0,7.2292,0,1,7.2292
369,1,3,0,28.0,0,0,7.75,1,1,7.75
370,1,1,0,24.0,0,0,69.3,0,1,69.3
371,1,1,1,25.0,1,0,55.4417,0,2,27.72085
372,0,3,1,18.0,1,0,6.4958,2,2,3.2479
373,0,3,1,19.0,0,0,8.05,2,1,8.05
374,0,1,1,22.0,0,0,135.6333,0,1,135.6333
375,0,3,0,3.0,3,1,21.075,2,5,4.215
376,1,1,0,28.0,1,0,82.1708,0,2,41.0854
377,1,3,0,22.0,0,0,7.25,2,1,7.25
378,0,1,1,27.0,0,2,211.5,0,3,70.5
379,0,3,1,20.0,0,0,4.0125,0,1,4.0125
380,0,3,1,19.0,0,0,7.775,2,1,7.775
381,1,1,0,42.0,0,0,227.525,0,1,227.525
382,1,3,0,1.0,0,2,15.7417,0,3,5.247233333333333
383,0,3,1,32.0,0,0,7.925,2,1,7.925
384,1,1,0,35.0,1,0,52.0,2,2,26.0
385,0,3,1,28.0,0,0,7.8958,2,1,7.8958
386,0,2,1,18.0,0,0,73.5,2,1,73.5
387,0,3,1,1.0,5,2,46.9,2,8,5.8625
388,1,2,0,36.0,0,0,13.0,2,1,13.0
389,0,3,1,28.0,0,0,7.7292,1,1,7.7292
390,1,2,0,17.0,0,0,12.0,0,1,12.0
391,1,1,1,36.0,1,2,120.0,2,4,30.0
392,1,3,1,21.0,0,0,7.7958,2,1,7.7958
393,0,3,1,28.0,2,0,7.925,2,3,2.6416666666666666
394,1,1,0,23.0,1,0,113.275,0,2,56.6375
395,1,3,0,24.0,0,2,16.7,2,3,5.566666666666666
396,0,3,1,22.0,0,0,7.7958,2,1,7.7958
397,0,3,0,31.0,0,0,7.8542,2,1,7.8542
398,0,2,1,46.0,0,0,26.0,2,1,26.0
399,0,2,1,23.0,0,0,10.5,2,1,10.5
400,1,2,0,28.0,0,0,12.65,2,1,12.65
401,1,3,1,39.0,0,0,7.925,2,1,7.925
402,0,3,1,26.0,0,0,8.05,2,1,8.05
403,0,3,0,21.0,1,0,9.825,2,2,4.9125
404,0,3,1,28.0,1,0,15.85,2,2,7.925
405,0,3,0,20.0,0,0,8.6625,2,1,8.6625
406,0,2,1,34.0,1,0,21.0,2,2,10.5
407,0,3,1,51.0,0,0,7.75,2,1,7.75
408,1,2,1,3.0,1,1,18.75,2,3,6.25
409,0,3,1,21.0,0,0,7.775,2,1,7.775
410,0,3,0,28.0,3,1,25.4667,2,5,5.0933399999999995
411,0,3,1,28.0,0,0,7.8958,2,1,7.8958
412,0,3,1,28.0,0,0,6.8583,1,1,6.8583
413,1,1,0,33.0,1,0,90.0,1,2,45.0
414,0,2,1,28.0,0,0,0.0,2,1,0.0
415,1,3,1,44.0,0,0,7.925,2,1,7.925
416,0,3,0,28.0,0,0,8.05,2,1,8.05
417,1,2,0,34.0,1,1,32.5,2,3,10.833333333333334
418,1,2,0,18.0,0,2,13.0,2,3,4.333333333333333
419,0,2,1,30.0,0,0,13.0,2,1,13.0
420,0,3,0,10.0,0,2,24.15,2,3,8.049999999999999
421,0,3,1,28.0,0,0,7.8958,0,1,7.8958
422,0,3,1,21.0,0,0,7.7333,1,1,7.7333
423,0,3,1,29.0,0,0,7.875,2,1,7.875
424,0,3,0,28.0,1,1,14.4,2,3,4.8
425,0,3,1,18.0,1,1,20.2125,2,3,6.7375
426,0,3,1,28.0,0,0,7.25,2,1,7.25
427,1,2,0,28.0,1,0,26.0,2,2,13.0
428,1,2,0,19.0,0,0,26.0,2,1,26.0
429,0,3,1,28.0,0,0,7.75,1,1,7.75
430,1,3,1,32.0,0,0,8.05,2,1,8.05
431,1,1,1,28.0,0,0,26.55,2,1,26.55
432,1,3,0,28.0,1,0,16.1,2,2,8.05
433,1,2,0,42.0,1,0,26.0,2,2,13.0
434,0,3,1,17.0,0,0,7.125,2,1,7.125
435,0,1,1,50.0,1,0,55.9,2,2,27.95
436,1,1,0,14.0,1,2,120.0,2,4,30.0
437,0,3,0,21.0,2,2,34.375,2,5,6.875
438,1,2,0,24.0,2,3,18.75,2,6,3.125
439,0,1,1,64.0,1,4,263.0,2,6,43.833333333333336
440,0,2,1,31.0,0,0,10.5,2,1,10.5
441,1,2,0,45.0,1,1,26.25,2,3,8.75
442,0,3,1,20.0,0,0,9.5,2,1,9.5
443,0,3,1,25.0,1,0,7.775,2,2,3.8875
444,1,2,0,28.0,0,0,13.0,2,1,13.0
445,1,3,1,28.0,0,0,8.1125,2,1,8.1125
446,1,1,1,4.0,0,2,81.8583,2,3,27.2861
447,1,2,0,13.0,0,1,19.5,2,2,9.75
448,1,1,1,34.0,0,0,26.55,2,1,26.55
449,1,3,0,5.0,2,1,19.2583,0,4,4.814575
450,1,1,1,52.0,0,0,30.5,2,1,30.5
451,0,2,1,36.0,1,2,27.75,2,4,6.9375
452,0,3,1,28.0,1,0,19.9667,2,2,9.98335
453,0,1,1,30.0,0,0,27.75,0,1,27.75
454,1,1,1,49.0,1,0,89.1042,0,2,44.5521
455,0,3,1,28.0,0,0,8.05,2,1,8.05
456,1,3,1,29.0,0,0,7.8958,0,1,7.8958
457,0,1,1,65.0,0,0,26.55,2,1,26.55
458,1,1,0,28.0,1,0,51.8625,2,2,25.93125
459,1,2,0,50.0,0,0,10.5,2,1,10.5
460,0,3,1,28.0,0,0,7.75,1,1,7.75
461,1,1,1,48.0,0,0,26.55,2,1,26.55
462,0,3,1,34.0,0,0,8.05,2,1,8.05
463,0,1,1,47.0,0,0,38.5,2,1,38.5
464,0,2,1,48.0,0,0,13.0,2,1,13.0
465,0,3,1,28.0,0,0,8.05,2,1,8.05
466,0,3,1,38.0,0,0,7.05,2,1,7.05
467,0,2,1,28.0,0,0,0.0,2,1,0.0
468,0,1,1,56.0,0,0,26.55,2,1,26.55
469,0,3,1,28.0,0,0,7.725,1,1,7.725
470,1,3,0,0.75,2,1,19.2583,0,4,4.814575
471,0,3,1,28.0,0,0,7.25,2,1,7.25
472,0,3,1,38.0,0,0,8.6625,2,1,8.6625
473,1,2,0,33.0,1,2,27.75,2,4,6.9375
474,1,2,0,23.0,0,0,13.7917,0,1,13.7917
475,0,3,0,22.0,0,0,9.8375,2,1,9.8375
476,0,1,1,28.0,0,0,52.0,2,1,52.0
